worker_id,platform,avg_daily_income,weekly_deliveries,active_days,rating,income_std,account_age_months,cancel_rate,monthly_income,default_risk
GW00001,Swiggy,1103,16,12,4.4,441,7,0.15,13236,0
GW00002,Zomato,507,44,10,3.5,195,26,0.15,5070,0
GW00003,Zomato,637,31,10,4.6,161,16,0.1,6370,0
GW00004,Zomato,294,57,11,3.8,112,14,0.15,3234,1
GW00005,Swiggy,518,41,22,5.0,260,12,0.08,11396,0
GW00006,Swiggy,560,35,23,4.4,442,11,0.29,12880,1
GW00007,Swiggy,921,65,12,4.7,392,1,0.09,11052,0
GW00008,Zomato,527,15,28,4.5,79,35,0.28,14756,0
GW00009,Zomato,1106,55,15,4.3,391,32,0.15,16590,0
GW00010,Zomato,724,64,17,4.5,364,33,0.14,12308,0
GW00011,Swiggy,816,20,29,4.3,104,5,0.24,23664,0
GW00012,Zomato,394,40,28,3.3,247,33,0.15,11032,1
GW00013,Zomato,484,63,9,3.8,355,2,0.09,4356,1
GW00014,Swiggy,940,64,21,3.8,447,33,0.14,19740,1
GW00015,Swiggy,969,30,12,4.5,246,24,0.14,11628,0
GW00016,Swiggy,385,66,14,4.2,351,13,0.1,5390,1
GW00017,Swiggy,694,60,18,4.3,84,33,0.13,12492,0
GW00018,Swiggy,602,31,10,4.7,248,7,0.04,6020,0
GW00019,Swiggy,643,66,19,4.1,147,35,0.28,12217,0
GW00020,Swiggy,524,10,21,3.6,407,19,0.2,11004,1
GW00021,Zomato,633,30,8,3.2,347,34,0.07,5064,1
GW00022,Swiggy,1159,54,29,3.5,68,34,0.24,33611,1
GW00023,Swiggy,572,29,23,3.3,222,26,0.09,13156,0
GW00024,Swiggy,432,18,22,3.6,359,6,0.18,9504,1
GW00025,Swiggy,822,36,8,4.3,241,26,0.28,6576,0
GW00026,Zomato,689,38,29,3.5,316,35,0.23,19981,1
GW00027,Swiggy,312,52,20,3.3,176,23,0.05,6240,1
GW00028,Swiggy,1122,42,22,4.9,158,27,0.17,24684,0
GW00029,Zomato,976,54,24,5.0,397,10,0.22,23424,1
GW00030,Swiggy,1121,61,16,4.3,180,30,0.07,17936,0
GW00031,Zomato,900,10,12,3.4,443,34,0.04,10800,1
GW00032,Swiggy,1192,12,19,4.7,329,33,0.05,22648,0
GW00033,Swiggy,895,41,24,4.2,300,9,0.29,21480,0
GW00034,Zomato,283,29,18,3.5,361,1,0.26,5094,1
GW00035,Zomato,954,26,18,4.2,428,33,0.26,17172,1
